"method","mean_rank","cd","indistinguishable_from_top"
"SFKmL-C + kNN",6.67391304347826,13.0233235589745,TRUE
"SFKmL-C(dense) + SVM",7.65217391304348,13.0233235589745,TRUE
"SFKmL-C + SVM",7.76086956521739,13.0233235589745,TRUE
"SFKmL-C + kFDA",9.6304347826087,13.0233235589745,TRUE
"SFKmL-C(dense) + kNN",10.0869565217391,13.0233235589745,TRUE
"Euclid + kFDA",10.5652173913043,13.0233235589745,TRUE
"DistSpace-Frechet",10.8913043478261,13.0233235589745,TRUE
"SFKmL-C(gap) + medoid",12.8913043478261,13.0233235589745,TRUE
"SFKmL-C(gaplab) + medoid",13.1739130434783,13.0233235589745,TRUE
"SFKmL-C + medoid",13.2608695652174,13.0233235589745,TRUE
"SFKmL-C(dense) + kFDA",14.4347826086957,13.0233235589745,TRUE
"MFPCA-SVM",14.8913043478261,13.0233235589745,TRUE
"SFKmL-C + mean",15.8913043478261,13.0233235589745,TRUE
"DTW + SVM",16.804347826087,13.0233235589745,TRUE
"DistSpace-bagdist",16.8478260869565,13.0233235589745,TRUE
"Euclid + SVM",18.2173913043478,13.0233235589745,TRUE
"DTW + kFDA",18.9782608695652,13.0233235589745,TRUE
"MFPLS-DA",19.4565217391304,13.0233235589745,TRUE
"SFKmL-C(dense) + mean",20.0869565217391,13.0233235589745,FALSE
"MFPCA-LDA",20.4347826086957,13.0233235589745,FALSE
"1NN-DTW",21.0869565217391,13.0233235589745,FALSE
"MFKmL-C + SVM",21.1521739130435,13.0233235589745,FALSE
"DTW + kNN",21.1739130434783,13.0233235589745,FALSE
"SFKmL-C(dense) + medoid",21.5434782608696,13.0233235589745,FALSE
"1NN-Euclid",22.3695652173913,13.0233235589745,FALSE
"MFKmL-C + kNN",22.4782608695652,13.0233235589745,FALSE
"Euclid + kNN",22.7608695652174,13.0233235589745,FALSE
"Euclid + centroid",26.304347826087,13.0233235589745,FALSE
"KmL3d-C (NC-Euclid)",26.304347826087,13.0233235589745,FALSE
"MFKmL-C + kFDA",26.3913043478261,13.0233235589745,FALSE
"MFKmL-C + mean",27.3695652173913,13.0233235589745,FALSE
"Subspace",29.7391304347826,13.0233235589745,FALSE
"DTW + medoid",30.1739130434783,13.0233235589745,FALSE
"1NN-DDTW",32,13.0233235589745,FALSE
"DD-classifier",32.0434782608696,13.0233235589745,FALSE
"DTW + DBA",33.304347826087,13.0233235589745,FALSE
"NC-DBA",33.304347826087,13.0233235589745,FALSE
"MFKmL-C + medoid",33.3913043478261,13.0233235589745,FALSE
"Euclid + medoid",34.1304347826087,13.0233235589745,FALSE
"MaxDepth-MBD",34.1521739130435,13.0233235589745,FALSE
"MaxDepth-MBD (w)",34.3260869565217,13.0233235589745,FALSE
"MaxDepth-MFHD",38.8695652173913,13.0233235589745,FALSE
