"method","sec_mean","sec_median","sec_max","bal_acc","sec_per_point_balacc"
"DD-classifier",2.75281495519306,2.89148557186126,7.22354388237,0.651123188405797,4.22779437779359
"MaxDepth-MFHD",0.903967821701713,0.481237530708313,10.1212570667267,0.427548309178744,2.11430568732245
"DistSpace-bagdist",0.278504978884821,0.263885378837586,0.660208940505981,0.833079710144928,0.334307720489761
"SFKmL-C + mean",0.145967276510985,0.0897130966186523,1.21145987510681,0.84548309178744,0.172643637618341
"SFKmL-C(dense) + mean",0.133234899769659,0.0801639556884766,1.09088802337646,0.815084541062802,0.1634614485461
"SFKmL-C(dense) + SVM",0.0658604065231655,0.0209240913391113,4.67157888412476,0.89243961352657,0.0737981657525388
"MaxDepth-MBD (w)",0.0658398107860399,0.0413559675216675,0.473358154296875,0.575410628019324,0.114422305706576
"DTW + SVM",0.0578257518229277,0.0197864770889283,4.93503189086914,0.805471014492754,0.0717912262297155
"SFKmL-C(gap) + medoid",0.0567289568030316,0.0325419902801514,0.571520090103149,0.861304347826087,0.0658640084033179
"MaxDepth-MBD",0.0511995361162269,0.0335580110549927,0.492482900619507,0.610338164251208,0.0838871614378578
"Subspace",0.0498899553133094,0.0330415964126587,0.455586910247803,0.662342995169082,0.0753234437099671
"SFKmL-C + SVM",0.0484152418634166,0.033116340637207,1.24405908584595,0.893961352657005,0.0541580927626438
"DTW + DBA",0.0459961508667987,0.0378599166870117,0.278512954711914,0.596449275362319,0.0771166179032709
"NC-DBA",0.0455381828805675,0.0377534627914429,0.176633834838867,0.596449275362319,0.0763487940410437
"Euclid + SVM",0.0413239883339923,0.0197194814682006,3.21208500862122,0.800700483091787,0.0516097956809341
"MFKmL-C + SVM",0.0283741187012714,0.0195848941802979,1.44295287132263,0.761678743961353,0.0372520815714283
"SFKmL-C + kNN",0.0269104591659878,0.023492455482483,0.196660041809082,0.898900966183575,0.0299370677953995
"DistSpace-Frechet",0.0251341541953709,0.0208359956741333,0.148709058761597,0.870012077294686,0.0288894313668908
"MFKmL-C + mean",0.0250730539404828,0.012816071510315,0.19173789024353,0.706183574879227,0.0355050086583659
"SFKmL-C + kFDA",0.0198633873980978,0.0153374671936035,0.211759805679321,0.887173913043478,0.0223895079713918
"KmL3d-C (NC-Euclid)",0.0180334278811579,0.011075496673584,0.166754961013794,0.727608695652174,0.0247845139687262
"Euclid + centroid",0.0180184176693792,0.0108860731124878,0.166469812393188,0.727608695652174,0.0247638844574677
"MFPCA-SVM",0.0176067221683005,0.0130413770675659,0.122550010681152,0.843164251207729,0.0208817227996574
"SFKmL-C + medoid",0.0175761115032694,0.0131945610046387,0.145440101623535,0.859855072463768,0.0204407836461417
"SFKmL-C(gaplab) + medoid",0.0170797721199367,0.0129984617233277,0.142940044403076,0.859359903381642,0.0198749930648691
"MFPCA-LDA",0.0162859305091526,0.0112965106964111,0.130038976669312,0.78280193236715,0.0208046631411663
"MFPLS-DA",0.0148438742886419,0.0102208852767944,0.145267009735107,0.800036231884058,0.0185540025527157
"SFKmL-C(dense) + kNN",0.0119217870546424,0.0112349987030029,0.133968830108643,0.876473429951691,0.0136019948206525
"MFKmL-C + kNN",0.0111962511228478,0.0106059312820435,0.148860931396484,0.740724637681159,0.0151152676086187
"Euclid + kNN",0.0108332573849222,0.0106309652328491,0.140119075775146,0.781727053140097,0.0138581073040857
"DTW + kNN",0.0105663687249889,0.0105655193328857,0.131289958953857,0.77048309178744,0.0137139527623844
"1NN-DDTW",0.0042559173832769,0.0030515193939209,0.131749868392944,0.644432367149758,0.00660413349829133
"SFKmL-C(dense) + kFDA",0.00337796967962514,0.00322198867797852,0.0278239250183105,0.840555555555556,0.00401873458250182
"MFKmL-C + kFDA",0.0026665272920028,0.00269794464111328,0.124540090560913,0.6981038647343,0.00381967129349397
"Euclid + kFDA",0.00262469416079314,0.0027461051940918,0.0178630352020264,0.859311594202898,0.00305441492760006
"DTW + kFDA",0.00260361484859301,0.00268495082855225,0.00973391532897949,0.781425120772947,0.0033318801499722
"SFKmL-C(dense) + medoid",0.00119444194047347,0.000766992568969727,0.111083984375,0.785942028985507,0.00151975832367084
"1NN-Euclid",0.000472725681636644,0.00043177604675293,0.0372030735015869,0.785615942028985,0.000601726182408864
"1NN-DTW",0.000421045241148575,0.000396013259887695,0.0086829662322998,0.769178743961353,0.000547395835433709
"Euclid + medoid",0.000335189052250074,0.000256061553955078,0.125143051147461,0.631859903381643,0.00053048001694075
"MFKmL-C + medoid",0.000284065474634585,0.000264883041381836,0.00658893585205078,0.619359903381642,0.000458643630437838
"DTW + medoid",0.000266924837361211,0.000255107879638672,0.00666499137878418,0.656727053140097,0.000406447147387835
