"dataset","tier","needs_grid","no_grid","gap"
"Phase","frechet",0.498715277777778,0.727222222222222,0.228506944444444
"Setting2a","paper",0.721944444444444,0.883055555555555,0.161111111111111
"Setting2","paper",0.746631944444444,0.905491452991453,0.158859508547008
"Imbalanced","auxiliary",0.639930555555556,0.797179487179487,0.157248931623932
"Setting4","paper",0.585208333333333,0.738482905982906,0.153274572649573
"Setting3","paper",0.751388888888889,0.899572649572649,0.148183760683761
"Setting2b","paper",0.736909722222222,0.880705128205128,0.143795405982906
"Setting5","paper",0.712534722222222,0.830320512820513,0.117785790598291
"Shape","frechet",0.812395833333333,0.928055555555555,0.115659722222222
"Setting6","paper",0.722291666666667,0.829508547008547,0.10721688034188
"HighDim20","auxiliary",0.700729166666667,0.793247863247863,0.0925186965811966
"HighDim50","auxiliary",0.669027777777778,0.747286324786325,0.078258547008547
"Setting1","paper",0.910104166666666,0.962606837606838,0.052502670940171
"LeadLag","coupled",0.952708333333333,0.994166666666667,0.0414583333333333
"Shape_noise","frechet",0.756041666666667,0.796431623931624,0.0403899572649572
"SharedWarp","coupled",0.62671875,0.65125,0.02453125
"SyncBreak","coupled",0.588229166666667,0.605288461538461,0.0170592948717948
"Setting2_async","frechet",0.728472222222222,0.745299145299145,0.016826923076923
"Phase_nowarp","frechet",0.938576388888889,0.87991452991453,-0.0586618589743589
"Setting5_async","frechet",0.691354166666667,0.627136752136752,-0.0642174145299146
"Thyroid_like","frechet",0.590972222222222,0.522286324786325,-0.0686858974358975
"Setting6_async","frechet",0.722534722222222,0.628974358974359,-0.0935603632478632
"Shape_async","frechet",0.728229166666667,0.613589743589743,-0.114639423076923
