"method","LeadLag","SharedWarp","SyncBreak","MEAN"
"DistSpace-bagdist",0.999166666666667,0.921666666666667,0.808333333333333,0.909722222222222
"DTW + kNN",1,0.858333333333333,0.824166666666667,0.894166666666667
"1NN-DTW",1,0.853333333333333,0.805,0.886111111111111
"Subspace",0.990833333333333,0.931666666666667,0.735,0.885833333333333
"DTW + DBA",1,0.801666666666667,0.8225,0.874722222222222
"NC-DBA",1,0.801666666666667,0.8225,0.874722222222222
"MFKmL-C + kNN",1,0.8475,0.7675,0.871666666666667
"DTW + SVM",1,0.7825,0.816666666666667,0.866388888888889
"MFKmL-C + SVM",0.999166666666667,0.814166666666667,0.718333333333333,0.843888888888889
"1NN-Euclid",0.998333333333333,0.775,0.729166666666667,0.834166666666667
"Euclid + kNN",0.998333333333333,0.763333333333333,0.7275,0.829722222222222
"1NN-DDTW",0.9625,0.839166666666667,0.685,0.828888888888889
"MFPCA-SVM",0.994166666666667,0.753333333333333,0.720833333333333,0.822777777777778
"DTW + kFDA",1,0.79,0.671666666666667,0.820555555555556
"Euclid + kFDA",0.991666666666667,0.745833333333333,0.649166666666667,0.795555555555556
"MFKmL-C + mean",0.9875,0.694166666666667,0.669166666666667,0.783611111111111
"MFKmL-C + kFDA",0.946666666666667,0.790833333333333,0.5575,0.765
"MFKmL-C + medoid",0.979166666666667,0.656666666666667,0.580833333333333,0.738888888888889
"DTW + medoid",1,0.599166666666667,0.596666666666667,0.731944444444444
"SFKmL-C(dense) + kNN",0.9975,0.6075,0.575,0.726666666666667
"Euclid + SVM",0.983333333333333,0.596666666666667,0.511666666666667,0.697222222222222
"SFKmL-C(dense) + kFDA",1,0.554166666666667,0.503333333333333,0.685833333333333
"SFKmL-C + medoid",1,0.540833333333333,0.488333333333333,0.676388888888889
"MFPCA-LDA",0.981666666666667,0.531666666666667,0.5,0.671111111111111
"SFKmL-C + kFDA",0.999166666666667,0.503333333333333,0.510833333333333,0.671111111111111
"SFKmL-C(gap) + medoid",1,0.526666666666667,0.486666666666667,0.671111111111111
"SFKmL-C + kNN",1,0.535,0.4775,0.670833333333333
"SFKmL-C(gaplab) + medoid",1,0.525,0.485,0.67
"DistSpace-Frechet",1,0.494166666666667,0.5125,0.668888888888889
"MFPLS-DA",0.988333333333333,0.52,0.490833333333333,0.666388888888889
"SFKmL-C + mean",1,0.5075,0.486666666666667,0.664722222222222
"SFKmL-C + SVM",1,0.511666666666667,0.4675,0.659722222222222
"SFKmL-C(dense) + medoid",0.980833333333333,0.514166666666667,0.4675,0.654166666666667
"SFKmL-C(dense) + SVM",1,0.5,0.461666666666667,0.653888888888889
"SFKmL-C(dense) + mean",0.995833333333333,0.483333333333333,0.4775,0.652222222222222
"Euclid + centroid",0.936666666666667,0.503333333333333,0.490833333333333,0.643611111111111
"KmL3d-C (NC-Euclid)",0.936666666666667,0.503333333333333,0.490833333333333,0.643611111111111
"MaxDepth-MBD (w)",0.923333333333333,0.501666666666667,0.496666666666667,0.640555555555556
"Euclid + medoid",0.93,0.5,0.4725,0.634166666666667
"MaxDepth-MBD",0.895833333333333,0.495833333333333,0.504166666666667,0.631944444444444
"DD-classifier",0.904166666666667,0.484166666666667,0.4975,0.628611111111111
"MaxDepth-MFHD",0.790833333333333,0.5,0.586666666666667,0.625833333333333
