"dataset","p","p_info","cor_pearson","cor_spearman","auc_w","gap","w_ratio"
"Thyroid_like",4,2,0.673622861618792,0.938938493535492,1,0.54455157716192,0.991788218105106
"Imbalanced",5,2,0.752645437636429,0.955979384619764,1,0.577816670654531,0.996411442084542
"Phase",5,2,0.762811632389425,0.952565504694694,1,0.577711803670883,0.98676205929771
"Phase_nowarp",5,2,0.769477360493696,0.945982320471565,1,0.5784210213078,0.982848460199838
"Setting5",5,2,0.780644034146236,0.955182159420632,1,0.593909811839052,0.996259027202759
"Setting5_async",5,2,0.839228989007186,0.943712932687674,1,0.620069360098317,0.987812262175186
"Shape_async",5,2,0.747506403471038,0.955979384619764,1,0.572894520921564,0.992556624192665
"Shape_noise",5,2,0.741529676509505,0.948823954326045,1,0.566233255002765,0.988639111216173
"HighDim50",50,3,0.748650734239988,0.670145200770794,0.931666666666667,0.433405228862909,0.927895210447368
"HighDim20",20,3,0.712817678205821,0.749200541166069,0.876666666666667,0.423317245827681,0.969308773812209
"Setting6_async",10,3,0.692960366244951,0.785329846325625,0.875,0.429823369292095,0.985194866324657
"Setting6",10,3,0.649287482163835,0.768936752135335,0.858333333333333,0.408233084475884,0.991903621493964
