"dataset","method","align","cv","rule"
"Phase","MFKmL-C + kFDA",0.468333333333333,0.462777777777778,0.468333333333333
"Phase_nowarp","MFKmL-C + kFDA",0.486111111111111,0.572777777777778,0.483888888888889
"Setting2_async","MFKmL-C + kFDA",0.703333333333333,0.693888888888889,0.706111111111111
"Setting5_async","MFKmL-C + kFDA",0.423333333333333,0.417222222222222,0.423888888888889
"Setting6_async","MFKmL-C + kFDA",0.473333333333333,0.473333333333333,0.471666666666667
"Shape_async","MFKmL-C + kFDA",0.381111111111111,0.387777777777778,0.381666666666667
"Phase","MFKmL-C + kNN",0.638888888888889,0.641666666666667,0.638888888888889
"Phase_nowarp","MFKmL-C + kNN",0.717777777777778,0.776666666666667,0.719444444444445
"Setting2_async","MFKmL-C + kNN",0.718333333333333,0.713888888888889,0.72
"Setting5_async","MFKmL-C + kNN",0.441111111111111,0.454444444444444,0.441666666666667
"Setting6_async","MFKmL-C + kNN",0.461666666666667,0.461111111111111,0.461111111111111
"Shape_async","MFKmL-C + kNN",0.408333333333333,0.438888888888889,0.406666666666667
"Phase","MFKmL-C + medoid",0.458333333333333,0.463888888888889,0.46
"Phase_nowarp","MFKmL-C + medoid",0.511666666666667,0.555,0.511666666666667
"Setting2_async","MFKmL-C + medoid",0.630555555555556,0.624444444444444,0.630555555555556
"Setting5_async","MFKmL-C + medoid",0.429444444444444,0.414444444444444,0.429444444444444
"Setting6_async","MFKmL-C + medoid",0.397222222222222,0.396666666666667,0.398333333333333
"Shape_async","MFKmL-C + medoid",0.378333333333333,0.408333333333333,0.379444444444444
"Phase","SFKmL-C + kFDA",0.898333333333333,0.895,0.897222222222222
"Phase_nowarp","SFKmL-C + kFDA",0.978888888888889,0.995,0.98
"Setting2_async","SFKmL-C + kFDA",0.803888888888889,0.787777777777778,0.804444444444444
"Setting5_async","SFKmL-C + kFDA",0.818888888888889,0.812777777777778,0.824444444444444
"Setting6_async","SFKmL-C + kFDA",0.848333333333333,0.832777777777778,0.844444444444444
"Shape_async","SFKmL-C + kFDA",0.863888888888889,0.874444444444444,0.862777777777778
"Phase","SFKmL-C + kNN",0.960555555555555,0.960555555555555,0.963888888888889
"Phase_nowarp","SFKmL-C + kNN",0.998333333333333,0.999444444444444,0.998333333333333
"Setting2_async","SFKmL-C + kNN",0.831666666666667,0.839444444444444,0.822777777777778
"Setting5_async","SFKmL-C + kNN",0.842777777777778,0.842777777777778,0.848333333333333
"Setting6_async","SFKmL-C + kNN",0.851666666666667,0.857777777777778,0.853888888888889
"Shape_async","SFKmL-C + kNN",0.918333333333333,0.920555555555555,0.911111111111111
"Phase","SFKmL-C + medoid",0.871666666666667,0.869444444444444,0.877777777777778
"Phase_nowarp","SFKmL-C + medoid",0.972777777777778,0.991666666666667,0.974444444444444
"Setting2_async","SFKmL-C + medoid",0.806666666666667,0.803888888888889,0.795555555555555
"Setting5_async","SFKmL-C + medoid",0.828888888888889,0.83,0.835555555555555
"Setting6_async","SFKmL-C + medoid",0.816666666666667,0.827777777777778,0.827222222222222
"Shape_async","SFKmL-C + medoid",0.805555555555555,0.82,0.797222222222222
