"method","sec_mean","sec_median"
"DD-classifier",11.6368639135361,10.4022839069366
"DistSpace-bagdist",0.802724921703339,0.746776461601258
"SFKmL-C + mean",0.559271607398987,0.519147038459778
"SFKmL-C(dense) + mean",0.503021376132965,0.478691458702088
"1NN-DDTW",0.41795606136322,0.374116420745849
"MFKmL-C + mean",0.283087277412414,0.263885021209716
"DTW + DBA",0.278352701663971,0.26062548160553
"NC-DBA",0.276043825149536,0.261122465133667
"SFKmL-C(gap) + medoid",0.22418844461441,0.175871014595032
"MaxDepth-MBD (w)",0.175662484169006,0.158758521080017
"Subspace",0.140873093605042,0.128588438034058
"SFKmL-C + SVM",0.12801659822464,0.0938489437103271
"MaxDepth-MBD",0.122906765937805,0.111985564231873
"SFKmL-C + kFDA",0.109124116897583,0.0993208885192871
"SFKmL-C + kNN",0.0894598293304443,0.0794035196304321
"DistSpace-Frechet",0.0875167059898377,0.0807650089263916
"Euclid + SVM",0.0705089521408081,0.0451569557189942
"MaxDepth-MFHD",0.0639410448074341,0.0571874380111694
"MFPCA-SVM",0.0625128412246704,0.0549415349960327
"SFKmL-C(dense) + SVM",0.0611853265762329,0.0535389184951783
"DTW + kFDA",0.0590583419799805,0.0542794466018677
"Euclid + kFDA",0.0584919309616089,0.0534740686416626
"SFKmL-C(dense) + kFDA",0.0582635235786438,0.0537889003753663
"MFKmL-C + kFDA",0.0582181549072266,0.0533014535903931
"DTW + SVM",0.05012704372406,0.0449479818344116
"MFKmL-C + SVM",0.0499280548095703,0.045392632484436
"SFKmL-C + medoid",0.0499025988578796,0.0472739934921265
"MFPCA-LDA",0.0486960864067078,0.0433160066604615
"SFKmL-C(dense) + kNN",0.045694146156311,0.0364536046981812
"Euclid + kNN",0.0428718376159668,0.0362343788146973
"DTW + kNN",0.0390660333633423,0.0343954563140869
"MFKmL-C + kNN",0.037327151298523,0.0336569547653198
"SFKmL-C(gaplab) + medoid",0.0326750612258911,0.0250924825668334
"MFPLS-DA",0.0294530868530273,0.0243499279022217
"KmL3d-C (NC-Euclid)",0.0290024471282959,0.0247520208358765
"Euclid + centroid",0.0278852820396423,0.0246744155883789
"SFKmL-C(dense) + medoid",0.00507291555404663,0.00262105464935302
"1NN-Euclid",0.00178191661834717,0.0013195276260376
"1NN-DTW",0.00159679174423218,0.00124990940093994
"MFKmL-C + medoid",0.000834910869598389,0.000464916229248046
"DTW + medoid",0.000528004169464111,0.000442981719970703
"Euclid + medoid",0.000477125644683838,0.000433564186096192
